Finger Table for Node 1472477244 (node-4) | Predecessor: node-1 | Successor: node-0:
Start Key: 1472485436 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1472493628 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1472510012 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1472542780 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1472608316 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1472739388 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1473001532 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1473525820 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1474574396 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1476671548 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1480865852 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1489254460 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1506031676 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1539586108 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1606694972 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1740912700 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 2009348156 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 398735420 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Finger Table for Node 1472477244 (node-4) | Predecessor: node-3 | Successor: node-7:
Start Key: 1472477245 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477246 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477248 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477252 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477260 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477276 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477308 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477372 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477500 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477756 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472478268 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472479292 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472481340 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472485436 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472493628 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472510012 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472542780 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472608316 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472739388 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1473001532 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1473525820 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1474574396 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1476671548 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1480865852 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1489254460 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1506031676 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1539586108 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1606694972 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1740912700 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 2009348156 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 398735420 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Finger Table for Node 1472477244 (node-4) | Predecessor: node-3 | Successor: node-7:
Start Key: 1472477245 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477246 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477248 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477252 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477260 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477276 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477308 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477372 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477500 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472477756 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472478268 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472479292 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472481340 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472485436 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472493628 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472510012 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472542780 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472608316 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1472739388 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1473001532 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1473525820 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1474574396 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1476671548 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1480865852 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1489254460 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1506031676 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1539586108 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1606694972 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1740912700 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 2009348156 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 398735420 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Finger Table for Node 1472477244 (node-4) | Predecessor: node-3 | Successor: node-5:
Start Key: 1472477245 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477246 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477248 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477252 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477260 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477276 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477308 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477372 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477500 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477756 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472478268 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472479292 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472481340 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472485436 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472493628 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472510012 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472542780 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472608316 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472739388 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1473001532 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1473525820 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1474574396 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1476671548 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1480865852 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1489254460 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1506031676 | Finger's Node Key: 1522810101 | Finger's Node URL: node-7
Start Key: 1539586108 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1606694972 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1740912700 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 2009348156 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 398735420 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Finger Table for Node 1472477244 (node-4) | Predecessor: node-3 | Successor: node-5:
Start Key: 1472477245 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477246 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477248 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477252 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477260 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477276 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477308 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477372 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477500 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472477756 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472478268 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472479292 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472481340 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472485436 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472493628 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472510012 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472542780 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472608316 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1472739388 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1473001532 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1473525820 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1474574396 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1476671548 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1480865852 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1489254460 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1506031676 | Finger's Node Key: 1506032482 | Finger's Node URL: node-6
Start Key: 1539586108 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1606694972 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1740912700 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 2009348156 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 398735420 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Total Word Count for node-4 = 0 | Dictionary Contents for node-4:
